"","gmDate","homeTeam","awayTeam","homeTeamRate","awayTeamRate","homeTeamlast10","awayTeamlast10","histRate","Result"
"195","2017-12-27","OKC","TOR",0.777777777777778,0.923076923076923,0.8,0.7,0.666666666666667,"Win"
"196","2017-12-27","SAC","CLE",0.428571428571429,0.777777777777778,0.5,0.6,0.5,"Win"
"197","2017-12-27","GS","UTA",0.777777777777778,0.666666666666667,0.9,0.2,0.681818181818182,"Win"
"198","2017-12-27","LAL","MEM",0.352941176470588,0.368421052631579,0.3,0.3,0.318181818181818,"Loss"
"199","2017-12-28","ORL","DET",0.4375,0.6875,0.1,0.5,0.476190476190476,"Win"
"200","2017-12-28","BOS","HOU",0.75,0.722222222222222,0.6,0.6,0.333333333333333,"Win"
"201","2017-12-28","MIL","MIN",0.666666666666667,0.666666666666667,0.5,0.7,0.5,"Win"
"202","2017-12-28","SA","NY",0.894736842105263,0.714285714285714,0.7,0.5,0.583333333333333,"Win"
"203","2017-12-28","POR","PHI",0.444444444444444,0.4375,0.5,0.2,0.583333333333333,"Win"
"204","2017-12-29","WAS","HOU",0.647058823529412,0.722222222222222,0.6,0.5,0.333333333333333,"Win"
"205","2017-12-29","TOR","ATL",0.928571428571429,0.352941176470588,0.7,0.3,0.636363636363636,"Win"
"206","2017-12-29","CHI","IND",0.529411764705882,0.578947368421053,0.8,0.4,0.458333333333333,"Win"
"207","2017-12-29","MIA","BKN",0.470588235294118,0.411764705882353,0.6,0.3,0.636363636363636,"Loss"
"208","2017-12-29","NO","DAL",0.529411764705882,0.421052631578947,0.5,0.5,0.375,"Loss"
"209","2017-12-29","OKC","MIL",0.736842105263158,0.666666666666667,0.8,0.5,0.666666666666667,"Loss"
"210","2017-12-29","SAC","PHO",0.4,0.315789473684211,0.4,0.5,0.583333333333333,"Loss"
"211","2017-12-29","GS","CHA",0.736842105263158,0.5,0.8,0.4,0.75,"Loss"
"212","2017-12-29","LAL","LAC",0.333333333333333,0.533333333333333,0.2,0.6,0.125,"Loss"
"213","2017-12-30","DET","SA",0.705882352941177,0.894736842105263,0.6,0.6,0.333333333333333,"Win"
"214","2017-12-30","NO","NY",0.5,0.714285714285714,0.5,0.5,0.5,"Loss"
"215","2017-12-30","ORL","MIA",0.411764705882353,0.470588235294118,0.1,0.6,0.291666666666667,"Loss"
"216","2017-12-30","ATL","POR",0.388888888888889,0.444444444444444,0.4,0.5,0.583333333333333,"Win"
"217","2017-12-30","UTA","CLE",0.684210526315789,0.777777777777778,0.3,0.6,0.416666666666667,"Win"
"218","2017-12-30","GS","MEM",0.75,0.368421052631579,0.8,0.3,0.571428571428571,"Win"
"219","2017-12-30","DEN","PHI",0.75,0.4375,0.5,0.3,0.416666666666667,"Loss"
"220","2017-12-31","WAS","CHI",0.666666666666667,0.529411764705882,0.7,0.7,0.619047619047619,"Win"
"221","2017-12-31","IND","MIN",0.55,0.666666666666667,0.3,0.7,0.583333333333333,"Loss"
"222","2017-12-31","BOS","BKN",0.761904761904762,0.411764705882353,0.6,0.2,0.625,"Win"
"223","2017-12-31","HOU","LAL",0.736842105263158,0.333333333333333,0.5,0.1,0.727272727272727,"Win"
"224","2017-12-31","LAC","CHA",0.5625,0.5,0.6,0.3,0.833333333333333,"Win"
"225","2017-12-31","OKC","DAL",0.7,0.421052631578947,0.7,0.5,0.636363636363636,"Loss"
"226","2017-12-31","SAC","MEM",0.375,0.368421052631579,0.4,0.4,0.19047619047619,"Loss"
"227","2017-12-31","PHO","PHI",0.3,0.4375,0.5,0.4,0.583333333333333,"Loss"
"228","2018-01-01","BKN","ORL",0.444444444444444,0.411764705882353,0.3,0.1,0.590909090909091,"Win"
"229","2018-01-01","TOR","MIL",0.933333333333333,0.666666666666667,0.8,0.4,0.714285714285714,"Win"
"230","2018-01-01","CHI","POR",0.5,0.444444444444444,0.6,0.6,0.25,"Loss"
"231","2018-01-01","MIN","LAL",0.684210526315789,0.333333333333333,0.8,0.1,0.545454545454545,"Win"
"232","2018-01-02","CLE","POR",0.789473684210526,0.444444444444444,0.6,0.5,0.416666666666667,"Win"
"233","2018-01-02","NY","SA",0.681818181818182,0.894736842105263,0.4,0.7,0.416666666666667,"Loss"
"234","2018-01-02","PHO","ATL",0.333333333333333,0.388888888888889,0.6,0.4,0.5,"Win"
"235","2018-01-02","SAC","CHA",0.352941176470588,0.5,0.3,0.4,0.416666666666667,"Loss"
"236","2018-01-02","LAC","MEM",0.588235294117647,0.368421052631579,0.6,0.4,0.590909090909091,"Win"
"237","2018-01-03","ORL","HOU",0.388888888888889,0.736842105263158,0.1,0.5,0.166666666666667,"Loss"
"238","2018-01-03","PHI","SA",0.470588235294118,0.894736842105263,0.4,0.7,0.166666666666667,"Win"
"239","2018-01-03","WAS","NY",0.684210526315789,0.681818181818182,0.7,0.3,0.761904761904762,"Win"
"240","2018-01-03","BKN","MIN",0.473684210526316,0.684210526315789,0.4,0.7,0.416666666666667,"Win"
"241","2018-01-03","MIA","DET",0.5,0.705882352941177,0.7,0.6,0.545454545454545,"Win"
"242","2018-01-03","BOS","CLE",0.772727272727273,0.789473684210526,0.7,0.5,0.476190476190476,"Win"
"243","2018-01-03","CHI","TOR",0.473684210526316,0.933333333333333,0.5,0.8,0.590909090909091,"Loss"
"244","2018-01-03","MIL","IND",0.684210526315789,0.55,0.5,0.3,0.375,"Win"
"245","2018-01-03","DAL","GS",0.4,0.75,0.5,0.8,0.136363636363636,"Loss"
"246","2018-01-03","DEN","PHO",0.764705882352941,0.333333333333333,0.5,0.6,0.523809523809524,"Win"
"247","2018-01-03","UTA","NO",0.65,0.5,0.3,0.5,0.636363636363636,"Loss"
"248","2018-01-03","LAL","OKC",0.315789473684211,0.7,0.1,0.7,0.227272727272727,"Loss"
"249","2018-01-04","HOU","GS",0.7,0.75,0.4,0.8,0.380952380952381,"Loss"
"250","2018-01-04","LAC","OKC",0.555555555555556,0.7,0.6,0.8,0.333333333333333,"Loss"
"251","2018-01-05","MIA","NY",0.526315789473684,0.681818181818182,0.7,0.2,0.590909090909091,"Win"
"252","2018-01-05","PHI","DET",0.5,0.705882352941177,0.5,0.6,0.454545454545455,"Win"
"253","2018-01-05","BOS","MIN",0.782608695652174,0.684210526315789,0.7,0.7,0.666666666666667,"Win"
"254","2018-01-05","MIL","TOR",0.65,0.933333333333333,0.5,0.8,0.285714285714286,"Loss"
"255","2018-01-05","DAL","CHI",0.380952380952381,0.473684210526316,0.5,0.5,0.583333333333333,"Loss"
"256","2018-01-05","SA","PHO",0.9,0.333333333333333,0.7,0.5,0.818181818181818,"Win"
"257","2018-01-05","DEN","UTA",0.777777777777778,0.65,0.6,0.2,0.458333333333333,"Win"
"258","2018-01-05","MEM","WAS",0.35,0.684210526315789,0.3,0.7,0.416666666666667,"Loss"
"259","2018-01-05","POR","ATL",0.473684210526316,0.388888888888889,0.5,0.4,0.416666666666667,"Win"
"260","2018-01-05","LAL","CHA",0.3,0.5,0.1,0.5,0.416666666666667,"Loss"
"261","2018-01-06","LAC","GS",0.526315789473684,0.75,0.6,0.8,0.208333333333333,"Loss"
"262","2018-01-06","BKN","BOS",0.45,0.782608695652174,0.4,0.7,0.375,"Loss"
"263","2018-01-06","DET","HOU",0.722222222222222,0.7,0.6,0.3,0.416666666666667,"Win"
"264","2018-01-06","IND","CHI",0.571428571428571,0.473684210526316,0.4,0.4,0.541666666666667,"Win"
