"","team1","team2","hist_win","hist_lost","hist_rate"
"448","MEM","TOR",8,16,0.333333333333333
"449","MEM","UTA",24,18,0.571428571428571
"450","MEM","WAS",10,14,0.416666666666667
"451","MIA","ATL",28,20,0.583333333333333
"452","MIA","BKN",28,16,0.636363636363636
"453","MIA","BOS",18,24,0.428571428571429
"454","MIA","CHA",36,12,0.75
"455","MIA","CHI",26,18,0.590909090909091
"456","MIA","CLE",30,12,0.714285714285714
"457","MIA","DAL",20,4,0.833333333333333
"458","MIA","DEN",16,8,0.666666666666667
"459","MIA","DET",24,20,0.545454545454545
"460","MIA","GS",6,18,0.25
"461","MIA","HOU",12,12,0.5
"462","MIA","IND",20,24,0.454545454545455
"463","MIA","LAC",12,12,0.5
"464","MIA","LAL",18,6,0.75
"465","MIA","MEM",12,12,0.5
"467","MIA","MIL",26,16,0.619047619047619
"468","MIA","MIN",16,8,0.666666666666667
"469","MIA","NO",12,12,0.5
"470","MIA","NY",26,18,0.590909090909091
"471","MIA","OKC",8,16,0.333333333333333
"472","MIA","ORL",34,14,0.708333333333333
"473","MIA","PHI",30,14,0.681818181818182
"474","MIA","PHO",22,2,0.916666666666667
"475","MIA","POR",10,14,0.416666666666667
"476","MIA","SA",6,18,0.25
"477","MIA","SAC",18,6,0.75
"478","MIA","TOR",24,18,0.571428571428571
"479","MIA","UTA",14,10,0.583333333333333
"480","MIA","WAS",28,20,0.583333333333333
"481","MIL","ATL",14,28,0.333333333333333
"482","MIL","BKN",28,14,0.666666666666667
"483","MIL","BOS",22,22,0.5
"484","MIL","CHA",16,28,0.363636363636364
"485","MIL","CHI",20,28,0.416666666666667
"486","MIL","CLE",16,32,0.333333333333333
"487","MIL","DAL",6,18,0.25
"488","MIL","DEN",4,20,0.166666666666667
"489","MIL","DET",22,26,0.458333333333333
"490","MIL","GS",8,16,0.333333333333333
"491","MIL","HOU",6,18,0.25
"492","MIL","IND",18,30,0.375
"493","MIL","LAC",6,18,0.25
"494","MIL","LAL",16,8,0.666666666666667
"495","MIL","MEM",10,14,0.416666666666667
"496","MIL","MIA",16,26,0.380952380952381
"498","MIL","MIN",12,12,0.5
"499","MIL","NO",6,18,0.25
"500","MIL","NY",26,18,0.590909090909091
"501","MIL","OKC",8,16,0.333333333333333
"502","MIL","ORL",26,18,0.590909090909091
"503","MIL","PHI",32,12,0.727272727272727
"504","MIL","PHO",18,6,0.75
"505","MIL","POR",16,8,0.666666666666667
"506","MIL","SA",6,18,0.25
"507","MIL","SAC",16,8,0.666666666666667
"508","MIL","TOR",12,30,0.285714285714286
"509","MIL","UTA",6,18,0.25
"510","MIL","WAS",14,30,0.318181818181818
"511","MIN","ATL",14,10,0.583333333333333
"512","MIN","BKN",14,10,0.583333333333333
"513","MIN","BOS",8,16,0.333333333333333
"514","MIN","CHA",6,18,0.25
"515","MIN","CHI",12,12,0.5
"516","MIN","CLE",8,16,0.333333333333333
"517","MIN","DAL",22,22,0.5
"518","MIN","DEN",22,26,0.458333333333333
"519","MIN","DET",12,12,0.5
"520","MIN","GS",8,34,0.19047619047619
"521","MIN","HOU",6,38,0.136363636363636
"522","MIN","IND",10,14,0.416666666666667
"523","MIN","LAC",14,30,0.318181818181818
"524","MIN","LAL",24,20,0.545454545454545
"525","MIN","MEM",14,28,0.333333333333333
"526","MIN","MIA",8,16,0.333333333333333
"527","MIN","MIL",12,12,0.5
"529","MIN","NO",22,22,0.5
"530","MIN","NY",10,14,0.416666666666667
"531","MIN","OKC",16,32,0.333333333333333
"532","MIN","ORL",10,14,0.416666666666667
"533","MIN","PHI",12,12,0.5
"534","MIN","PHO",24,20,0.545454545454545
"535","MIN","POR",14,34,0.291666666666667
"536","MIN","SA",8,34,0.19047619047619
"537","MIN","SAC",24,18,0.571428571428571
"538","MIN","TOR",6,18,0.25
"539","MIN","UTA",16,32,0.333333333333333
"540","MIN","WAS",12,12,0.5
"541","NO","ATL",12,12,0.5
"542","NO","BKN",16,8,0.666666666666667
"543","NO","BOS",14,10,0.583333333333333
"544","NO","CHA",18,6,0.75
"545","NO","CHI",10,14,0.416666666666667
"546","NO","CLE",14,10,0.583333333333333
"547","NO","DAL",18,30,0.375
"548","NO","DEN",16,26,0.380952380952381
"549","NO","DET",22,2,0.916666666666667
"550","NO","GS",4,40,0.0909090909090909
"551","NO","HOU",14,34,0.291666666666667
"552","NO","IND",6,18,0.25
"553","NO","LAC",16,28,0.363636363636364
"554","NO","LAL",24,18,0.571428571428571
"555","NO","MEM",22,26,0.458333333333333
"556","NO","MIA",12,12,0.5
"557","NO","MIL",18,6,0.75
"558","NO","MIN",22,22,0.5
"560","NO","NY",12,12,0.5
"561","NO","OKC",14,28,0.333333333333333
"562","NO","ORL",10,14,0.416666666666667
"563","NO","PHI",14,10,0.583333333333333
"564","NO","PHO",24,18,0.571428571428571
"565","NO","POR",18,26,0.409090909090909
"566","NO","SA",18,30,0.375
"567","NO","SAC",26,18,0.590909090909091
"568","NO","TOR",4,20,0.166666666666667
"569","NO","UTA",16,28,0.363636363636364
"570","NO","WAS",2,22,0.0833333333333333
"571","NY","ATL",20,22,0.476190476190476
"572","NY","BKN",26,22,0.541666666666667
"573","NY","BOS",18,30,0.375
"574","NY","CHA",20,24,0.454545454545455
"575","NY","CHI",18,26,0.409090909090909
"576","NY","CLE",16,28,0.363636363636364
"577","NY","DAL",8,16,0.333333333333333
"578","NY","DEN",8,16,0.333333333333333
"579","NY","DET",20,22,0.476190476190476
"580","NY","GS",4,20,0.166666666666667
"581","NY","HOU",2,22,0.0833333333333333
"582","NY","IND",14,28,0.333333333333333
"583","NY","LAC",2,22,0.0833333333333333
"584","NY","LAL",16,8,0.666666666666667
"585","NY","MEM",6,18,0.25
"586","NY","MIA",18,26,0.409090909090909
